İllər,"Əhalinin sayı - cəmi,min nəfər",o cümlədən:,o cümlədən:,"Əhalinin ümumi sayına nisbətən, faizlə","Əhalinin ümumi sayına nisbətən, faizlə"
şəhər əhalisi,kənd əhalisi,şəhər əhalisi,kənd əhalisi,,
2000,"8032,8","4107,3","3925,5","51,1","48,9"
2001,"8114,3","4149,1","3965,2","51,1","48,9"
2002,"8191,4","4192,6","3998,8","51,2","48,8"
2003,"8269,2","4237,6","4031,6","51,2","48,8"
2004,"8349,1","4358,4","3990,7","52,2","47,8"
2005,"8447,4","4423,4","4024,0","52,4","47,6"
2006,"8553,1","4502,4","4050,7","52,6","47,4"
2007,"8666,1","4564,2","4101,9","52,7","47,3"
2008,"8779,9","4652,2","4127,7","53,0","47,0"
2009,"8897,0","4727,8","4169,2","53,1","46,9"
2010,"8997,6","4774,9","4222,7","53,1","46,9"
2011,"9111,1","4829,5","4281,6","53,0","47,0"
2012,"9235,1","4888,7","4346,4","52,9","47,1"
2013,"9356,5","4966,2","4390,3","53,1","46,9"
2014,"9477,1","5045,4","4431,7","53,2","46,8"
2015,"9593,0","5098,3","4494,7","53,1","46,9"
2016,"9705,6","5152,4","4553,2","53,1","46,9"
2017,"9810,0","5199,0","4611,0","53,0","47,0"
2018,"9898,1","5237,8","4660,3","52,9","47,1"
2019,"9981,5","5273,9","4707,6","52,8","47,2"
2020,"9974,0","5476,8","4497,2","54,9","45,1"
2021,"10026,1","5494,4","4531,7","54,8","45,2"
2022,"10063,3","5502,5","4560,8","54,7","45,3"
2023,"10127,1","5527,2","4599,9","54,6","45,4"
2024,"10180,8","5547,8","4633,0","54,5","45,5"
2025,"10224,9","5562,9","4662,0","54,4","45,6"
